Code ZA,Libellé ZA,NIVEAU,Date d?entrée,Date de sortie,Durée,Surface,AC Concerné,Numéro AR,Région,Bassin,Département,Type de zone (souterraine ou superficielle)
21_51_01,Craie de Champagne Nord,Alerte,15/07/2014,31/10/2014,108,2249.61,NA,28-2014-LE-SEC,Grand-Est,SEINE-NORMANDIE,Marne,Souterraine
21_51_10,Blaise,Alerte,15/07/2014,31/10/2014,108,114.57,NA,28-2014-LE-SEC,Grand-Est,SEINE-NORMANDIE,Marne,Superficielle
21_52_01,Saulx-Ornain,Alerte,01/07/2014,13/08/2014,43,167.59,NA,1687,Grand-Est,SEINE-NORMANDIE,Haute-Marne,Superficielle
21_52_02,Marne amont,Alerte,01/07/2014,13/08/2014,43,2372.59,NA,1687,Grand-Est,SEINE-NORMANDIE,Haute-Marne,Superficielle
21_52_03,Aube amont,Alerte,01/07/2014,13/08/2014,43,1209.15,NA,1687,Grand-Est,SEINE-NORMANDIE,Haute-Marne,Superficielle
21_52_04,Seine amont,Alerte,01/07/2014,13/08/2014,43,63.86,NA,1687,Grand-Est,SEINE-NORMANDIE,Haute-Marne,Superficielle
21_52_05,Blaise,Alerte,01/07/2014,13/08/2014,43,662.65,NA,1687,Grand-Est,SEINE-NORMANDIE,Haute-Marne,Superficielle
21_52_06,Meuse amont,Alerte,01/07/2014,13/08/2014,43,485.35,NA,1687,Grand-Est,RHIN-MEUSE,Haute-Marne,Superficielle
21_52_07,Saône amont,Alerte,01/07/2014,13/08/2014,43,1293.36,NA,1687,Grand-Est,RHONE-MEDITERRANEE-CORSE,Haute-Marne,Superficielle
24_18_0007,bassin de la Petite Sauldre et de la Rère,Alerte,19/09/2014,31/10/2014,42,616.89,NA,2014-3-0067,Centre-Val de Loire,LOIRE-BRETAGNE,Cher,Superficielle
24_18_0014,bassin de l'Yèvre amont,Alerte,17/04/2014,31/10/2014,197,613.02,NA,2014-3-0019,Centre-Val de Loire,LOIRE-BRETAGNE,Cher,Superficielle
24_36_0012,bassin de la Trégonce,Crise,28/06/2014,31/10/2014,125,98.88,NA,2014176-0009,Centre-Val de Loire,LOIRE-BRETAGNE,Indre,Superficielle
24_36_0013,bassin de la Ringoire,Crise,28/06/2014,31/10/2014,125,96.71,NA,2014176-0009,Centre-Val de Loire,LOIRE-BRETAGNE,Indre,Superficielle
26_21_01,bassin de la Saône,Alerte,27/06/2014,03/07/2014,6,436.15,NA,367,Bourgogne-Franche-Comté,RHONE-MEDITERRANEE-CORSE,Côte-d'Or,Superficielle
26_21_01,bassin de la Saône,Alerte,04/07/2014,15/08/2014,42,436.15,NA,404,Bourgogne-Franche-Comté,RHONE-MEDITERRANEE-CORSE,Côte-d'Or,Superficielle
26_21_02,bassin de la Tille amont,Alerte,20/06/2014,26/06/2014,6,702.89,NA,347,Bourgogne-Franche-Comté,RHONE-MEDITERRANEE-CORSE,Côte-d'Or,Superficielle
26_21_02,bassin de la Tille amont,Alerte,27/06/2014,03/07/2014,6,702.89,NA,367,Bourgogne-Franche-Comté,RHONE-MEDITERRANEE-CORSE,Côte-d'Or,Superficielle
26_21_02,bassin de la Tille amont,Alerte,16/08/2014,30/11/2014,106,702.89,NA,554,Bourgogne-Franche-Comté,RHONE-MEDITERRANEE-CORSE,Côte-d'Or,Superficielle
26_21_02,bassin de la Tille amont,Alerte renforcée,04/07/2014,15/08/2014,42,702.89,NA,404,Bourgogne-Franche-Comté,RHONE-MEDITERRANEE-CORSE,Côte-d'Or,Superficielle
26_21_03,bassin de la Vingeanne,Alerte,20/06/2014,26/06/2014,6,275.25,NA,347,Bourgogne-Franche-Comté,RHONE-MEDITERRANEE-CORSE,Côte-d'Or,Superficielle
26_21_03,bassin de la Vingeanne,Alerte,27/06/2014,03/07/2014,6,275.25,NA,367,Bourgogne-Franche-Comté,RHONE-MEDITERRANEE-CORSE,Côte-d'Or,Superficielle
26_21_03,bassin de la Vingeanne,Alerte,04/07/2014,15/08/2014,42,275.25,NA,404,Bourgogne-Franche-Comté,RHONE-MEDITERRANEE-CORSE,Côte-d'Or,Superficielle
26_21_04,bassin de la Bèze,Alerte,27/06/2014,03/07/2014,6,260.46,NA,367,Bourgogne-Franche-Comté,RHONE-MEDITERRANEE-CORSE,Côte-d'Or,Superficielle
26_21_04,bassin de la Bèze,Alerte,04/07/2014,15/08/2014,42,260.46,NA,404,Bourgogne-Franche-Comté,RHONE-MEDITERRANEE-CORSE,Côte-d'Or,Superficielle
26_21_04,bassin de la Bèze,Alerte,16/08/2014,30/11/2014,106,260.46,NA,554,Bourgogne-Franche-Comté,RHONE-MEDITERRANEE-CORSE,Côte-d'Or,Superficielle
26_21_05,bassin de la Tille aval,Alerte,20/06/2014,26/06/2014,6,507.17,NA,347,Bourgogne-Franche-Comté,RHONE-MEDITERRANEE-CORSE,Côte-d'Or,Superficielle
26_21_05,bassin de la Tille aval,Alerte,27/06/2014,03/07/2014,6,507.17,NA,367,Bourgogne-Franche-Comté,RHONE-MEDITERRANEE-CORSE,Côte-d'Or,Superficielle
26_21_05,bassin de la Tille aval,Alerte,16/08/2014,30/11/2014,106,507.17,NA,554,Bourgogne-Franche-Comté,RHONE-MEDITERRANEE-CORSE,Côte-d'Or,Superficielle
26_21_05,bassin de la Tille aval,Alerte renforcée,04/07/2014,15/08/2014,42,507.17,NA,404,Bourgogne-Franche-Comté,RHONE-MEDITERRANEE-CORSE,Côte-d'Or,Superficielle
26_21_06,bassin de la Vouge,Alerte,04/07/2014,15/08/2014,42,338.53,NA,404,Bourgogne-Franche-Comté,RHONE-MEDITERRANEE-CORSE,Côte-d'Or,Superficielle
26_21_07,bassin de la Bouzaise,Alerte,04/07/2014,15/08/2014,42,470.15,NA,404,Bourgogne-Franche-Comté,RHONE-MEDITERRANEE-CORSE,Côte-d'Or,Superficielle
26_21_09,bassin de l'Ouche amont,Alerte,20/06/2014,26/06/2014,6,845.74,NA,347,Bourgogne-Franche-Comté,RHONE-MEDITERRANEE-CORSE,Côte-d'Or,Superficielle
26_21_09,bassin de l'Ouche amont,Alerte,27/06/2014,03/07/2014,6,845.74,NA,367,Bourgogne-Franche-Comté,RHONE-MEDITERRANEE-CORSE,Côte-d'Or,Superficielle
26_21_09,bassin de l'Ouche amont,Alerte,04/07/2014,15/08/2014,42,845.74,NA,404,Bourgogne-Franche-Comté,RHONE-MEDITERRANEE-CORSE,Côte-d'Or,Superficielle
26_21_10,bassin de l'Arroux,Alerte,04/07/2014,15/08/2014,42,565.97,NA,404,Bourgogne-Franche-Comté,LOIRE-BRETAGNE,Côte-d'Or,Superficielle
26_21_11,bassin du Serein,Alerte,20/06/2014,26/06/2014,6,564.57,NA,347,Bourgogne-Franche-Comté,SEINE-NORMANDIE,Côte-d'Or,Superficielle
26_21_11,bassin du Serein,Alerte,27/06/2014,03/07/2014,6,564.57,NA,367,Bourgogne-Franche-Comté,SEINE-NORMANDIE,Côte-d'Or,Superficielle
26_21_11,bassin du Serein,Alerte,04/07/2014,15/08/2014,42,564.57,NA,404,Bourgogne-Franche-Comté,SEINE-NORMANDIE,Côte-d'Or,Superficielle
26_21_12,bassin de l'Armançon amont,Alerte,20/06/2014,26/06/2014,6,1396.94,NA,347,Bourgogne-Franche-Comté,SEINE-NORMANDIE,Côte-d'Or,Superficielle
26_21_12,bassin de l'Armançon amont,Alerte,27/06/2014,03/07/2014,6,1396.94,NA,367,Bourgogne-Franche-Comté,SEINE-NORMANDIE,Côte-d'Or,Superficielle
26_21_12,bassin de l'Armançon amont,Alerte,04/07/2014,15/08/2014,42,1396.94,NA,404,Bourgogne-Franche-Comté,SEINE-NORMANDIE,Côte-d'Or,Superficielle
26_21_13,bassin de la Laignes,Alerte,20/06/2014,26/06/2014,6,553.09,NA,347,Bourgogne-Franche-Comté,SEINE-NORMANDIE,Côte-d'Or,Superficielle
26_21_13,bassin de la Laignes,Alerte,27/06/2014,03/07/2014,6,553.09,NA,367,Bourgogne-Franche-Comté,SEINE-NORMANDIE,Côte-d'Or,Superficielle
26_21_13,bassin de la Laignes,Alerte,16/08/2014,30/11/2014,106,553.09,NA,554,Bourgogne-Franche-Comté,SEINE-NORMANDIE,Côte-d'Or,Superficielle
26_21_13,bassin de la Laignes,Alerte renforcée,04/07/2014,15/08/2014,42,553.09,NA,404,Bourgogne-Franche-Comté,SEINE-NORMANDIE,Côte-d'Or,Superficielle
26_21_14,bassin de la Seine,Alerte,20/06/2014,26/06/2014,6,682.69,NA,347,Bourgogne-Franche-Comté,SEINE-NORMANDIE,Côte-d'Or,Superficielle
26_21_14,bassin de la Seine,Alerte renforcée,27/06/2014,03/07/2014,6,682.69,NA,367,Bourgogne-Franche-Comté,SEINE-NORMANDIE,Côte-d'Or,Superficielle
